record_id,black_mdemand_speech,black_pdemand_speech,black_tdemand_speech,black_performance_speech,black_effort_speech,black_frustration_speech,red_mdemand_speech,red_pdemand_speech,red_tdemand_speech,red_performance_speech,red_effort_speech,red_frustration_speech,blue_mdemand_speech,blue_pdemand_speech,blue_tdemand_speech,blue_performance_speech,blue_effort_speech,blue_frustration_speech,purple_mdemand_speech,purple_pdemand_speech,purple_tdemand_speech,purple_performance_speech,purple_effort_speech,purple_frustration_speech,nasaspeech_complete
101,31,29,28,34,41,21,56,53,36,43,60,54,53,63,38,24,62,69,66,67,40,76,79,79,2
102,15,0,58,9,58,57,61,1,40,39,69,54,77,21,71,65,87,84,93,18,59,79,91,29,2
103,2,1,1,9,2,1,1,1,2,14,1,0,7,0,1,27,22,1,,,,,,,2
104,10,2,22,16,13,20,41,8,37,40,35,31,45,29,33,74,50,59,70,60,56,91,78,79,2
105,0,0,0,5,0,0,17,0,0,23,26,0,,0,0,67,67,0,94,0,0,92,84,14,2
106,64,0,24,21,62,65,75,4,66,37,69,76,92,9,70,76,83,90,99,10,81,97,99,99,2
107,6,0,1,0,3,0,49,1,11,43,56,13,88,0,5,56,75,22,99,1,15,78,78,12,2
109,35,18,9,31,56,60,70,65,16,64,71,70,75,22,7,82,86,80,96,24,7,98,87,50,2
110,15,15,17,22,34,17,27,14,24,27,22,15,41,23,50,45,72,32,55,43,42,69,61,47,2
111,53,59,29,6,38,58,60,63,24,27,62,59,73,74,20,66,65,68,57,70,16,89,63,73,2
112,68,61,26,8,30,25,59,59,33,17,62,38,78,76,54,72,64,60,85,85,24,95,88,67,2
113,54,16,36,32,60,38,43,50,34,57,47,40,60,57,37,58,60,53,83,76,31,84,75,64,2
114,12,21,2,14,9,1,5,9,4,10,14,3,50,17,7,32,38,32,43,27,4,77,61,54,2
115,11,1,1,24,17,40,39,1,18,37,50,43,62,1,50,71,64,63,91,2,77,99,93,84,2
116,10,1,14,9,12,12,21,2,25,16,27,28,66,1,68,54,66,63,90,1,74,85,89,90,2
117,17,58,11,14,44,8,43,56,33,36,53,19,62,72,31,47,62,35,44,66,30,89,67,35,2
118,78,0,63,25,24,0,88,0,85,47,89,9,100,0,96,71,100,14,100,0,100,93,100,0,2
119,14,0,65,8,50,7,63,0,71,20,75,50,63,0,100,57,64,71,100,0,87,82,98,77,2
120,33,5,13,21,52,28,38,3,27,27,9,21,55,5,15,74,16,24,77,10,28,97,9,20,2
121,57,17,7,23,21,58,66,25,25,26,63,58,86,69,21,58,86,61,90,78,40,89,95,40,2
122,50,3,65,47,62,36,50,0,54,26,24,1,82,1,62,84,78,45,85,0,54,94,89,47,2
123,18,7,3,18,5,0,14,14,2,21,7,1,15,2,7,27,43,2,86,14,12,100,81,63,2
124,60,8,63,63,62,55,61,13,28,58,62,60,85,11,11,92,92,86,96,8,32,99,98,92,2
125,6,6,0,6,3,1,6,9,5,9,10,1,9,13,1,24,12,4,6,17,10,67,21,3,2
126,12,0,19,0,32,22,66,0,60,37,59,59,88,9,84,81,84,94,99,13,99,98,100,99,2
127,28,33,50,22,26,14,8,3,4,6,9,6,85,57,62,50,73,50,93,96,61,79,81,82,2
128,17,0,1,20,7,1,58,1,0,34,50,0,62,1,0,50,14,1,72,1,0,73,57,1,2
129,10,11,18,27,15,19,9,10,10,22,28,11,23,12,12,45,38,7,54,5,15,72,53,16,2
130,14,1,2,29,19,3,12,2,4,44,66,4,14,13,11,92,79,31,37,13,12,97,84,9,2
131,,29,32,,67,,,32,33,59,56,50,50,59,,,61,59,,83,,78,63,61,2
132,8,10,10,20,12,21,24,4,17,34,33,42,57,50,50,81,78,95,100,71,33,99,100,100,2
