record_id,black_mdemand,black_pdemand,black_tdemand,black_performance,black_effort,black_frustration,red_mdemand,red_pdemand,red_tdemand,red_performance,red_effort,red_frustration,blue_mdemand,blue_pdemand,blue_tdemand,blue_performance,blue_effort,blue_frustration,purple_mdemand,purple_pdemand,purple_tdemand,purple_performance,purple_effort,purple_frustration,nasawm_complete
101,53,32,42,53,45,12,58,26,53,33,60,55,61,35,55,19,46,72,64,26,56,28,62,76,2
102,63,5,54,18,64,8,69,32,60,23,61,12,86,10,88,59,82,8,92,9,74,53,93,4,2
103,63,0,52,26,63,4,70,0,62,20,81,9,79,1,65,53,87,2,99,0,87,75,98,1,2
104,25,18,28,11,14,12,31,32,38,36,35,37,39,25,40,37,45,38,73,23,67,59,64,76,2
105,4,0,0,8,6,0,28,1,39,27,29,9,66,0,67,41,66,18,71,0,63,28,60,17,2
106,49,15,52,5,54,11,83,5,86,66,74,76,84,2,75,83,86,85,99,2,93,74,95,96,2
107,49,8,50,8,50,1,69,6,62,31,65,9,86,7,74,50,72,33,99,2,92,51,79,9,2
109,22,0,54,11,21,6,72,3,66,61,77,72,94,2,76,19,93,86,89,9,75,93,86,92,2
110,45,13,48,59,48,33,,,,,,,49,44,71,54,70,31,48,50,46,33,40,14,2
111,16,0,45,14,5,5,24,1,18,37,17,17,27,0,10,23,16,9,34,0,16,40,16,13,2
112,59,51,23,14,55,16,60,56,32,27,63,34,71,66,39,35,72,52,89,78,53,82,73,66,2
113,34,50,56,25,30,20,42,20,50,23,42,47,71,38,60,76,68,53,85,33,67,72,74,37,2
114,19,19,21,42,19,51,5,3,4,9,5,5,66,21,23,17,58,40,80,50,60,40,82,53,2
115,13,0,14,16,26,20,35,0,24,12,37,11,70,1,50,72,75,16,90,1,72,92,72,60,2
116,2,4,4,4,12,10,25,1,2,13,28,17,67,2,26,26,67,53,93,2,2,63,81,57,2
117,58,4,52,26,55,55,53,1,47,18,58,43,69,4,81,30,93,54,98,7,72,66,82,78,2
118,20,0,70,6,19,0,53,0,70,8,26,0,79,0,74,24,58,7,100,0,100,74,100,12,2
119,50,0,92,9,25,25,85,0,77,50,68,58,94,0,64,55,63,62,72,0,65,41,71,66,2
120,64,13,56,34,53,32,68,18,42,88,11,18,70,5,27,86,26,55,71,16,65,97,60,64,2
121,62,9,76,9,66,0,83,12,72,30,85,62,93,68,91,61,95,70,96,20,94,22,76,13,2
122,55,0,74,50,55,50,78,1,61,32,81,17,77,1,80,68,91,54,94,0,82,81,97,62,2
123,13,0,28,42,42,12,55,16,32,45,47,3,65,6,30,86,60,21,80,4,39,95,63,37,2
124,45,9,15,65,50,31,64,14,12,66,63,66,64,20,17,84,72,76,90,20,24,99,87,92,2
125,15,12,28,13,21,8,22,7,15,11,20,8,50,8,27,47,45,12,68,6,38,50,59,11,2
126,38,1,43,39,46,62,63,19,66,30,67,58,85,33,82,76,83,93,96,30,97,98,98,100,2
127,50,0,50,40,50,50,69,23,50,69,60,41,100,37,77,65,52,55,50,50,52,45,55,54,2
128,59,0,50,63,10,1,65,0,10,60,56,0,83,0,10,33,86,0,72,0,1,35,78,0,2
129,11,11,35,15,23,5,50,9,16,24,27,4,52,6,12,69,56,5,67,9,6,33,61,7,2
130,93,64,99,22,90,65,97,73,98,34,94,33,82,58,83,79,59,38,75,67,81,36,77,38,2
131,51,35,62,27,27,42,62,34,34,34,,31,96,31,30,65,,51,99,,,89,39,50,2
132,52,46,47,56,58,55,58,56,61,65,65,62,72,63,73,75,72,73,93,59,80,85,87,92,2
