inquisit.build,computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,Reward_N2_1,fixedAmount_N2_1,IP12_1,Reward_N2_2,fixedAmount_N2_2,IP12_2,Reward_N2_3,fixedAmount_N2_3,IP12_3,Reward_N3_1,fixedAmount_N3_1,IP13_1,Reward_N3_2,fixedAmount_N3_2,IP13_2,Reward_N3_3,fixedAmount_N3_3,IP13_3,Reward_N4_1,fixedAmount_N4_1,IP14_1,Reward_N4_2,fixedAmount_N4_2,IP14_2,Reward_N4_3,fixedAmount_N4_3,IP14_3,TotalWinAmount,finalN,finalReward,percentCorrect_N1,percentCorrect_N2,percentCorrect_N3,percentCorrect_N4,percentCorrect,meanCorrectSpeechWords_N1,meanCorrectSpeechWords_N2,meanCorrectSpeechWords_N3,meanCorrectSpeechWords_N4,meanCorrectSpeechWords,mentaldemand_1,physicaldemand_1,temporaldemand_1,performance_1,effort_1,frustration_1,mentaldemand_2,physicaldemand_2,temporaldemand_2,performance_2,effort_2,frustration_2,mentaldemand_3,physicaldemand_3,temporaldemand_3,performance_3,effort_3,frustration_3,mentaldemand_4,physicaldemand_4,temporaldemand_4,performance_4,effort_4,frustration_4
6265,win,3/10/21,12:27:21,59,1,2178598,1,2,X,0.46875,3,X,1.453125,4,1,3.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.125,1,0.125,87,85,40,13,81,3.466666667,3.4,1.6,0.533333333,3.25,4,9,6,14,9,9,7,7,10,13,10,11,17,8,7,2,16,5,14,6,7,17,18,8
6265,win,3/10/21,12:42:51,57,1,1950390,1,2,X,1.96875,3,X,1.265625,4,1,2.9375,2,X,1.96875,3,X,2.953125,4,1,3.9375,2,X,1.96875,3,1,2.953125,4,1,2.9375,2,4,2,5,8,2,0,0,0.2,0.333333333,0.066666667,0,0,18,16,16,9,9,13,21,17,18,9,12,13,18,18,16,8,5,15,21,21,21,21,21,21
6265,mac,3/10/21,11:42:12,49,1,996602,0,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,1,1.96875,3,X,2.953125,4,X,3.9375,4,4,4,90,83,63,15,14,3.6,3.333333333,2.533333333,0.6,0.55,4,4,4,17,5,4,6,4,5,14,7,6,6,5,6,9,6,5,5,9,5,3,4,4
6265,win,3/10/21,12:51:26,9,1,1189513,1,2,1,1.96875,3,X,1.453125,4,1,3.9375,2,X,0.46875,3,X,2.109375,4,X,1.9375,2,X,0.09375,3,X,0.234375,4,X,0.0625,2,1,2,90,78,68,35,90,3.6,3.133333333,2.733333333,1.4,3.6,15,6,16,15,16,9,17,2,12,12,13,16,18,2,14,13,15,13,20,2,15,2,17,19
6265,win,3/10/21,17:02:58,51,1,1636379,1,2,X,1.46875,3,X,2.203125,4,X,2.9375,2,X,0.09375,3,X,0.421875,4,X,1.3125,2,X,0.03125,3,X,0.046875,4,X,0.0625,1.5,1,1.5,93,92,68,15,91,3.733333333,3.666666667,2.733333333,0.6,3.65,8,6,2,19,11,9,12,12,5,19,11,7,17,15,4,14,17,16,21,21,8,2,16,19
6265,mac,3/10/21,19:49:10,36,1,1611151,0,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.75,1,0.75,87,72,40,12,88,3.466666667,2.866666667,1.6,0.466666667,3.5,15,8,6,13,15,14,15,8,8,13,16,14,19,9,11,9,14,18,18,9,11,2,17,20
6265,win,3/10/21,22:58:47,27,1,1342401,1,2,X,1.96875,3,X,2.953125,4,1,3.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.5,1,0.5,80,87,50,13,88,3.2,3.466666667,2,0.533333333,3.5,16,14,12,15,17,14,15,17,13,17,18,15,14,18,13,5,16,18,15,20,13,2,19,21
6265,win,3/11/21,10:42:04,14,1,1402369,1,2,X,1.59375,3,X,2.578125,4,X,3.4375,2,X,0.96875,3,X,2.296875,4,X,1.9375,2,X,0.96875,3,X,1.453125,4,X,0.9375,3,2,3,82,75,45,20,88,3.266666667,3,1.8,0.8,3.5,6,8,15,17,12,14,13,6,14,14,16,16,16,12,15,4,17,19,18,15,17,2,19,20
6265,win,3/16/21,14:34:40,52,1,1344218,1,2,1,1.96875,3,1,2.953125,4,1,3.9375,2,1,1.96875,3,1,2.203125,4,1,3.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,3,1,3,88,97,58,23,93,3.533333333,3.866666667,2.333333333,0.933333333,3.7,7,7,7,21,8,8,14,7,7,21,7,3,17,14,7,14,17,13,21,8,8,6,21,13
6265,win,3/16/21,14:50:45,44,1,1105900,1,2,X,0.96875,3,X,2.578125,4,1,1.3125,2,1,1.59375,3,1,0.984375,4,X,1.6875,2,1,1.40625,3,X,1.453125,4,X,0.0625,4,2,4,0,0,0,0,1,0,0,0,0,0.05,17,18,20,17,18,16,13,17,18,13,17,16,16,19,19,17,20,18,18,16,20,17,15,18
6265,win,3/16/21,16:32:29,22,1,1534174,1,2,1,1.96875,3,X,2.953125,4,1,3.9375,2,X,1.96875,3,1,2.953125,4,X,3.9375,2,1,1.96875,3,1,2.953125,4,1,3.9375,2,1,2,90,78,38,8,91,3.6,3.133333333,1.533333333,0.333333333,3.65,3,1,8,19,12,8,17,11,9,15,15,15,16,1,8,6,7,7,11,1,7,2,2,2
