build,computer.platform,date,time,subjectid,session,blockcode,blocknum,trialcode,trialnum,phase1BlockCount,phase3BlockCount,phase,N,stimulusitem1,stimulusnumber1,currenttarget,response,correct,latency,N1_x,level1Reward,levelXReward,selectedN,RoundWinAmount,TotalWinAmount,adjust_N2_1,mentaldemand,physicaldemand,temporaldemand,performance,effort,frustration,newID
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,start,3,1,0,1,1,,1,0,0,0,2000,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,5,1,0,1,1,P,12,18,0,0,2000,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,7,1,0,1,1,K,8,12,31,0,1281,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,9,1,0,1,1,Q,13,8,0,0,2000,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,11,1,0,1,1,L,9,13,37,1,1203,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,target,13,1,0,1,1,L,9,9,37,0,1466,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,15,1,0,1,1,D,3,9,37,1,762,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,target,17,1,0,1,1,D,3,3,31,1,1352,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,target,19,1,0,1,1,D,3,3,31,1,739,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,21,1,0,1,1,R,14,3,37,1,759,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,23,1,0,1,1,W,18,14,37,1,598,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,25,1,0,1,1,N,11,18,37,1,708,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,27,1,0,1,1,R,14,11,37,1,574,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,target,29,1,0,1,1,R,14,14,31,1,708,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,target,31,1,0,1,1,R,14,14,31,1,689,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,33,1,0,1,1,K,8,14,37,1,779,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,35,1,0,1,1,C,2,8,37,1,848,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,37,1,0,1,1,G,5,2,37,1,959,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,39,1,0,1,1,S,15,5,31,0,1203,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,41,1,0,1,1,B,1,15,37,1,551,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,1back,2,nontarget,43,1,0,1,1,P,12,1,37,1,593,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,ratingSummary,4,ratingSummary,1,1,0,1,1,0,0,NA,0,0,0,25pct,NA,NA,NA,0,0,0,17,9,18,5,15,21,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,start,3,2,0,1,2,,1,0,37,1,903,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,start,4,2,0,1,2,,1,0,37,1,546,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,6,2,0,1,2,W,18,16,37,1,510,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,8,2,0,1,2,G,5,3,37,1,590,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,target,10,2,0,1,2,W,18,18,0,0,2000,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,12,2,0,1,2,Q,13,5,37,1,836,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,target,14,2,0,1,2,W,18,18,31,1,1740,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,16,2,0,1,2,R,14,13,37,1,625,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,target,18,2,0,1,2,W,18,18,31,1,1083,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,20,2,0,1,2,Z,20,14,37,1,700,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,22,2,0,1,2,M,10,18,37,1,761,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,24,2,0,1,2,K,8,20,37,1,662,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,26,2,0,1,2,J,7,10,37,1,743,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,28,2,0,1,2,P,12,8,37,1,765,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,30,2,0,1,2,C,2,7,37,1,676,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,32,2,0,1,2,C,2,12,37,1,1889,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,34,2,0,1,2,Z,20,2,37,1,1079,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,target,36,2,0,1,2,C,2,2,31,1,982,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,target,38,2,0,1,2,Z,20,20,31,1,1035,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,40,2,0,1,2,S,15,2,37,1,893,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,42,2,0,1,2,N,11,20,37,1,770,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,2back,5,nontarget,44,2,0,1,2,R,14,15,37,1,745,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,ratingSummary,7,ratingSummary,1,2,0,1,2,0,0,NA,0,0,0,25pct,NA,NA,NA,0,0,0,15,9,16,8,15,20,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,start,3,3,0,1,3,,1,0,0,0,2000,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,start,4,3,0,1,3,,1,0,0,0,2000,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,start,5,3,0,1,3,,1,0,0,0,2000,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,nontarget,7,3,0,1,3,X,19,17,0,0,2000,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,nontarget,9,3,0,1,3,Z,20,17,37,1,1190,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,target,11,3,0,1,3,R,14,14,31,1,1034,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,nontarget,13,3,0,1,3,K,8,19,37,1,956,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,target,15,3,0,1,3,Z,20,20,31,1,1143,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,nontarget,17,3,0,1,3,H,6,14,37,1,876,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,nontarget,19,3,0,1,3,S,15,8,37,1,705,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,target,21,3,0,1,3,Z,20,20,31,1,1197,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
6.4.0,win,3/10/21,12:06:50,59,1,3back,8,nontarget,23,3,0,1,3,N,11,6,37,1,680,25pct,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,59
