computer.platform,startdate,starttime,subjectid,elapsedtime,completed,BAS_Drive,BAS_Fun,BAS_Reward,BIS,BAS_totalscore
win,4/5/21,12:27:14,1,122964,1,15,16,18,28,49
win,4/5/21,12:18:48,2,214114,1,10,16,16,18,42
win,4/5/21,10:49:25,3,49425,1,13,13,18,11,44
win,3/23/21,22:45:18,4,156386,1,10,11,18,25,39
win,3/15/21,15:40:30,5,558272,1,11,8,15,27,34
win,4/5/21,10:24:45,6,412319,1,14,9,16,24,39
win,4/5/21,10:06:54,7,75394,1,7,10,19,31,36
ios,3/9/21,14:26:29,8,98443,1,10,12,18,27,40
win,3/9/21,15:21:49,9,73355,1,11,12,14,29,37
win,3/23/21,20:33:30,10,169923,1,16,10,20,32,46
mac,3/23/21,21:17:43,11,155083,1,13,13,20,29,46
win,3/23/21,20:47:11,12,101573,1,16,8,19,16,43
win,3/23/21,20:14:25,13,85326,1,13,16,19,28,48
win,3/9/21,13:22:56,14,92109,1,11,14,15,23,40
win,3/15/21,14:03:36,15,864219,1,12,11,15,22,38
win,3/15/21,15:22:13,16,194609,1,16,10,20,26,46
win,3/15/21,14:46:25,17,73055,1,13,11,14,23,38
and,3/23/21,20:04:32,18,132318,1,5,10,17,31,32
win,3/23/21,20:10:46,19,391784,1,13,12,20,19,45
mac,4/5/21,09:02:18,20,94344,1,11,9,15,20,35
mac,3/23/21,21:33:37,21,736551,1,11,10,17,22,38
win,3/15/21,15:50:12,22,135427,1,12,14,19,30,45
win,3/23/21,17:37:32,23,128793,1,12,10,17,19,39
win,4/5/21,10:19:44,24,89275,1,9,13,17,29,39
win,3/15/21,15:49:41,25,189714,1,12,13,18,27,43
win,4/5/21,11:03:02,26,157211,1,12,12,20,27,44
win,3/9/21,15:21:03,27,303533,1,14,13,19,21,46
win,3/23/21,18:54:16,28,99706,1,11,14,19,29,44
win,3/23/21,21:24:39,29,180048,1,10,16,18,30,44
win,3/15/21,14:37:45,30,177725,1,11,11,15,21,37
mac,3/23/21,17:41:37,31,113878,1,15,11,20,15,46
mac,3/9/21,16:27:00,32,213539,1,7,14,18,32,39
win,4/5/21,10:46:31,33,83624,1,6,10,13,8,29
win,3/15/21,14:32:31,34,113731,1,8,15,19,20,42
win,3/23/21,20:35:23,35,144130,1,9,7,17,23,33
mac,3/9/21,17:03:11,36,83992,1,14,16,15,22,45
