computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,totalscore,radiobuttons.q1.response,radiobuttons.q2.response,radiobuttons.q3R.response,radiobuttons.q4R.response,radiobuttons.q5R.response,radiobuttons.q6.response,radiobuttons.q7R.response,radiobuttons.q8R.response,radiobuttons.q9R.response,radiobuttons.q10.response,radiobuttons.q11.response,radiobuttons.q12R.response,radiobuttons.q13.response,radiobuttons.q14.response,radiobuttons.q15.response,radiobuttons.q16R.response,radiobuttons.q17R.response,radiobuttons.q18.response
ios,3/9/21,14:25:02,8,1,84615,1,59,3,4,4,4,4,3,3,4,2,3,4,4,3,2,3,2,4,3
win,3/9/21,15:20:16,9,1,92284,1,56,2,3,4,4,4,3,5,1,2,2,2,3,3,4,4,2,4,4
win,3/9/21,13:21:31,14,1,84168,1,46,2,3,3,2,3,4,2,2,2,2,4,2,2,3,2,2,2,4
win,3/9/21,15:17:36,27,1,205986,1,58,2,4,4,4,4,4,2,1,1,5,4,5,4,4,3,2,1,4
mac,3/9/21,17:01:39,36,1,91641,1,73,5,5,4,4,5,4,2,2,5,5,5,4,5,4,5,4,3,2
win,3/9/21,15:36:48,53,1,25319,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
win,3/9/21,16:31:16,57,1,82445,1,58,4,4,3,3,2,4,2,2,3,4,4,4,4,4,3,3,2,3
win,3/9/21,16:36:23,59,1,173551,1,75,2,4,5,5,4,4,4,4,4,5,4,5,4,5,4,4,4,4
mac,3/9/21,16:23:21,32,1,218786,1,27,1,1,1,1,1,1,1,2,1,2,1,1,1,5,1,1,1,4
win,3/9/21,17:31:56,51,1,197981,1,58,3,4,2,2,2,4,4,3,2,3,4,4,2,4,4,3,4,4
mac,3/9/21,19:33:37,49,1,61752,1,74,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4
win,3/16/21,00:23:14,44,1,30328,1,56,4,4,2,2,2,4,2,2,2,4,4,2,4,4,4,4,2,4
win,3/15/21,14:00:30,46,1,53967,1,76,5,5,5,5,5,4,5,1,5,1,5,5,5,1,5,5,5,4
win,3/15/21,13:57:20,52,1,124107,1,68,4,4,4,4,5,4,5,2,1,4,4,4,4,4,5,4,2,4
win,3/15/21,13:35:03,37,1,73935,1,49,2,2,3,2,3,1,1,2,1,5,4,4,2,5,3,1,4,4
