computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,SensitivityToPunishment,SensitivityToReward
ios,3/9/21,14:30:07,8,1,248165,1,22,14
win,3/9/21,15:24:46,9,1,183815,1,19,9
win,3/9/21,13:26:14,14,1,202565,1,20,16
win,3/9/21,15:28:19,27,1,303948,1,13,14
mac,3/9/21,17:06:36,36,1,209578,1,11,10
win,3/9/21,15:38:31,53,1,41583,0,0,0
win,3/9/21,16:36:47,57,1,295193,1,8,13
win,3/9/21,16:44:45,59,1,292115,1,15,14
mac,3/9/21,16:41:17,32,1,664298,1,19,18
win,3/9/21,17:43:51,51,1,255325,1,21,12
mac,3/9/21,19:36:44,49,1,125306,1,7,12
win,3/16/21,00:24:56,44,1,49403,1,19,14
win,3/15/21,14:03:46,46,1,136241,1,3,12
win,3/15/21,14:03:41,52,1,262744,1,19,10
win,3/15/21,13:38:49,37,1,170608,1,16,9
win,3/15/21,14:36:46,34,1,274143,1,7,9
win,3/15/21,14:44:17,30,1,217520,1,2,5
win,3/15/21,14:49:41,17,1,220055,1,9,3
win,3/15/21,15:53:29,5,1,692318,1,16,10
win,3/15/21,15:56:34,25,1,447057,1,16,6
win,3/15/21,15:28:14,16,1,389265,1,18,18
win,3/15/21,12:59:45,54,1,316252,1,21,6
win,3/15/21,15:55:17,22,1,286375,1,18,6
win,3/15/21,14:27:13,15,1,874680,1,13,10
win,3/15/21,14:21:14,39,1,201444,1,15,16
win,3/23/21,18:57:49,28,1,290265,1,18,10
win,3/23/21,20:17:29,13,1,181115,1,11,16
win,3/23/21,20:40:03,35,1,206234,1,21,12
win,3/23/21,17:26:21,60,1,284414,1,16,19
win,3/23/21,17:41:43,23,1,211617,1,6,12
mac,3/23/21,17:45:38,31,1,253835,1,7,5
win,3/23/21,20:51:07,12,1,239210,1,4,7
win,3/23/21,21:29:53,29,1,167844,1,20,22
win,3/23/21,18:17:56,56,1,284650,1,16,13
win,3/23/21,20:20:30,19,1,296747,1,9,9
win,3/23/21,20:28:09,58,1,265358,1,20,5
and,3/23/21,20:10:22,18,1,314077,1,20,5
mac,3/23/21,21:11:15,62,1,692011,1,17,10
win,3/23/21,20:23:54,41,1,229687,1,19,14
mac,3/23/21,18:34:55,45,1,262092,1,14,18
mac,3/23/21,21:22:31,11,1,441111,1,23,6
win,3/23/21,20:39:27,10,1,502433,1,22,12
mac,3/23/21,21:51:21,21,1,934124,1,15,15
win,3/23/21,22:50:21,4,1,260134,1,16,3
win,4/5/21,07:52:36,43,1,347580,1,22,11
win,4/5/21,10:09:36,7,1,153296,1,22,13
win,4/5/21,10:51:29,3,1,145162,1,1,8
win,4/5/21,10:49:53,33,1,168341,1,2,1
