computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,Rescoring,propCorrect_overall,propCorrect_level2,propCorrect_level3,propCorrect_level4,propCorrect_level5,propCorrect_level6,ListeningSpanScore
ios,3/9/21,14:53:01,8,1,523094,1,0,0.983333333,1,0.888888889,1,1,1,20
win,3/9/21,15:50:02,9,1,591344,1,0,0.983333333,1,1,1,1,0.944444444,45
win,3/9/21,14:07:02,14,1,1058063,1,0,0.95,1,1,0.833333333,1,0.944444444,41
win,3/9/21,16:07:29,27,1,1028556,1,1,0.983333333,1,1,1,1,0.944444444,58
mac,3/9/21,17:30:03,36,1,867608,1,1,0.95,1,0.888888889,0.916666667,1,0.944444444,42
win,3/9/21,15:39:33,53,1,38604,0,0,NA,NA,NA,NA,NA,NA,0
win,3/9/21,17:12:30,57,1,667857,1,0,0.433333333,0.166666667,0.222222222,0.666666667,0.4,0.5,4
win,3/9/21,17:24:35,59,1,1104783,1,1,0.983333333,1,1,1,1,0.944444444,60
mac,3/9/21,18:38:32,32,1,1530199,1,1,0.966666667,1,1,1,0.866666667,1,56
win,3/9/21,18:11:58,51,1,698527,1,0,0.95,1,1,1,0.933333333,0.888888889,52
mac,3/9/21,19:58:47,49,1,604375,1,1,1,1,1,1,1,1,56
win,3/16/21,00:55:47,44,1,503391,1,0,0.516666667,0.5,0.444444444,0.75,0.6,0.333333333,0
win,3/15/21,14:26:33,46,1,170718,0,0,NA,NA,NA,NA,NA,NA,0
win,3/15/21,14:39:14,52,1,708398,1,1,0.933333333,1,0.888888889,0.916666667,0.866666667,1,37
win,3/15/21,14:00:41,37,1,603709,1,0,0.966666667,0.833333333,1,1,0.933333333,1,36
win,3/15/21,15:05:18,34,1,845770,1,2,0.95,1,0.888888889,1,0.933333333,0.944444444,51
win,3/15/21,15:10:41,30,1,728954,1,0,0.55,0.5,0.333333333,0.75,0.666666667,0.444444444,24
win,3/15/21,15:14:33,17,1,586828,1,0,0.95,1,0.888888889,1,0.933333333,0.944444444,35
win,3/15/21,16:25:38,5,1,75924,0,0,NA,NA,NA,NA,NA,NA,0
win,3/15/21,16:31:38,25,1,770047,1,0,0.866666667,1,0.777777778,0.833333333,1,0.777777778,35
win,3/15/21,16:02:42,16,1,2630963,1,0,0.95,1,1,0.916666667,0.933333333,0.944444444,46
win,3/15/21,13:32:30,54,1,841548,1,1,0.983333333,1,1,1,1,0.944444444,50
win,3/15/21,16:37:01,22,1,936780,1,0,0.983333333,1,1,1,1,0.944444444,53
win,3/15/21,15:37:01,15,1,1102132,1,0,0.733333333,0.666666667,0.555555556,0.833333333,0.733333333,0.777777778,36
win,3/15/21,14:48:40,39,1,658901,1,0,1,1,1,1,1,1,39
win,3/23/21,19:26:01,28,1,621660,1,0,0.983333333,0.833333333,1,1,1,1,52
win,3/23/21,20:38:24,13,1,648239,1,0,0.9,0.833333333,1,1,0.866666667,0.833333333,53
win,3/23/21,21:06:17,35,1,703676,1,1,0.983333333,0.833333333,1,1,1,1,56
win,3/23/21,18:03:09,60,1,1205083,1,0,0.783333333,0.666666667,0.555555556,0.666666667,1,0.833333333,39
win,3/23/21,18:10:38,23,1,997733,1,1,0.933333333,1,1,0.916666667,0.933333333,0.888888889,33
mac,3/23/21,18:16:49,31,1,661181,1,0,0.95,1,1,0.916666667,1,0.888888889,41
win,3/23/21,21:39:07,12,1,1086626,1,0,0.933333333,1,0.888888889,0.916666667,0.933333333,0.944444444,44
win,3/23/21,21:56:16,29,1,599696,1,1,0.966666667,1,1,1,0.866666667,1,42
win,3/23/21,18:53:35,56,1,822455,1,1,0.95,1,1,0.833333333,1,0.944444444,56
win,3/23/21,20:53:19,19,1,1040639,1,0,0.9,0.833333333,0.888888889,0.916666667,0.8,1,54
win,3/23/21,20:58:42,58,1,810950,1,0,1,1,1,1,1,1,42
and,3/23/21,20:55:35,18,1,915575,1,0,0.95,1,1,1,0.866666667,0.944444444,44
mac,3/23/21,21:52:21,62,1,1332676,1,2,0.516666667,0.333333333,0.555555556,0.583333333,0.6,0.444444444,57
win,3/23/21,21:04:10,41,1,752148,1,0,0.916666667,1,1,0.833333333,0.866666667,0.944444444,49
mac,3/23/21,19:09:43,45,1,812928,1,0,0.983333333,1,1,1,1,0.944444444,45
mac,3/23/21,22:09:13,11,1,1474306,1,0,0.966666667,1,1,1,0.933333333,0.944444444,53
win,3/23/21,21:23:03,10,1,1031201,1,2,1,1,1,1,1,1,53
mac,3/23/21,22:45:34,21,1,1084144,1,1,0.95,0.833333333,1,0.916666667,0.933333333,1,54
win,3/23/21,23:22:51,4,1,790961,1,0,1,1,1,1,1,1,44
win,4/5/21,08:31:02,43,1,637359,1,0,0.933333333,0.833333333,1,0.833333333,0.933333333,1,11
win,4/5/21,10:34:04,7,1,527097,1,0,0.966666667,1,1,0.916666667,0.933333333,1,43
