inquisit.build,computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,ospan,totalcorrectletters,mathtotalerrors,mathspeederrors,mathaccerrors
6265,ios,3/9/21,14:34:18,8,1,701926,1,3,7,27,2,25
6265,win,3/9/21,15:27:51,9,1,777162,1,36,50,6,1,5
6265,win,3/9/21,13:29:37,14,1,1763282,1,16,29,5,2,3
6265,win,3/9/21,15:33:23,27,1,1325285,1,64,73,1,0,1
6265,mac,3/9/21,17:10:06,36,1,749616,1,0,10,9,1,8
6265,win,3/9/21,15:39:14,53,1,7829,0,0,0,0,0,0
6265,win,3/9/21,16:41:45,57,1,1312719,1,57,67,7,2,5
6265,win,3/9/21,16:49:37,59,1,1379697,1,75,75,4,4,0
6265,mac,3/9/21,16:52:22,32,1,4059687,1,68,68,2,0,2
6265,win,3/9/21,17:48:07,51,1,899312,1,68,73,0,0,0
6265,mac,3/9/21,19:38:50,49,1,765285,1,43,68,2,0,2
6265,win,3/16/21,00:25:47,44,1,1181875,1,68,74,7,2,5
6265,win,3/15/21,14:06:03,46,1,749657,1,32,57,13,2,11
6265,win,3/15/21,14:08:05,52,1,936581,1,28,49,12,5,7
6265,win,3/15/21,13:41:40,37,1,723706,1,31,47,13,5,8
6265,win,3/15/21,14:41:21,34,1,886624,1,68,74,2,0,2
6265,win,3/15/21,14:47:55,30,1,905294,1,5,10,5,4,1
6265,win,3/15/21,14:53:22,17,1,858162,1,60,69,16,5,11
6265,win,3/15/21,16:05:02,5,1,1228935,0,4,4,2,1,1
6265,win,3/15/21,16:04:03,25,1,1163814,1,54,69,4,1,3
6265,win,3/15/21,15:34:44,16,1,1090507,1,37,58,2,0,2
6265,win,3/15/21,13:05:02,54,1,1154402,1,58,69,6,1,5
6265,win,3/15/21,16:00:06,22,1,1506450,1,53,64,3,0,3
6265,win,3/15/21,14:41:48,15,1,1995375,1,33,60,6,1,5
6265,win,3/15/21,14:24:36,39,1,965677,1,38,58,2,1,1
6265,win,3/23/21,19:02:40,28,1,895767,1,47,65,5,2,3
6265,win,3/23/21,20:20:31,13,1,613241,1,33,48,12,2,10
6265,win,3/23/21,20:43:30,35,1,915261,1,61,73,0,0,0
6265,win,3/23/21,17:31:09,60,1,1305805,1,47,65,4,0,4
6265,win,3/23/21,17:45:16,23,1,849731,1,43,61,4,0,4
6265,mac,3/23/21,17:49:53,31,1,1171382,1,69,70,3,3,0
6265,win,3/23/21,20:55:06,12,1,1735287,1,57,67,2,2,0
6265,win,3/23/21,21:32:42,29,1,1011462,1,39,49,3,1,2
6265,win,3/23/21,18:22:41,56,1,1132100,1,63,71,1,0,1
6265,win,3/23/21,20:25:27,19,1,1023262,1,50,61,6,3,3
