inquisit.build,computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,sspan,totalcorrectsquares,totalrecalledsets,symmetrytotalerrors,symmetryspeederrors,symmetryaccerrors,symmetryaccuracy
6265,ios,3/9/21,14:46:06,8,1,403901,1,7,14,3,7,0,7,83
6265,win,3/9/21,15:40:50,9,1,548207,1,12,24,5,4,2,2,90
6265,win,3/9/21,13:59:01,14,1,480149,1,20,28,7,1,0,1,98
6265,win,3/9/21,15:55:29,27,1,718339,1,42,42,12,1,1,0,98
6265,mac,3/9/21,17:22:37,36,1,444619,1,4,18,2,1,0,1,98
6265,win,3/9/21,15:39:23,53,1,4251,0,0,0,0,0,0,0,0
6265,win,3/9/21,17:03:40,57,1,524708,1,19,27,7,20,2,18,52
6265,win,3/9/21,17:12:38,59,1,715743,1,12,24,5,4,2,2,90
6265,mac,3/9/21,18:00:02,32,1,2308309,1,26,33,8,6,0,6,86
6265,win,3/9/21,18:03:07,51,1,530117,1,13,29,4,1,1,0,98
6265,mac,3/9/21,19:51:36,49,1,430079,1,19,26,7,2,0,2,95
6265,win,3/16/21,00:45:31,44,1,611962,1,12,18,5,0,0,0,100
6265,win,3/15/21,14:18:34,46,1,478334,1,23,28,8,8,0,8,81
6265,win,3/15/21,14:23:42,52,1,930161,1,15,21,6,5,1,4,88
6265,win,3/15/21,13:53:45,37,1,414021,1,19,31,6,0,0,0,100
6265,win,3/15/21,14:56:09,34,1,547515,1,28,35,9,3,0,3,93
6265,win,3/15/21,15:03:02,30,1,457958,1,10,13,4,19,0,19,55
6265,win,3/15/21,15:07:41,17,1,409552,1,7,15,3,7,0,7,83
6265,win,3/15/21,16:25:32,5,1,3662,0,0,0,0,0,0,0,0
6265,win,3/15/21,16:23:29,25,1,485757,1,32,38,10,2,0,2,95
6265,win,3/15/21,15:52:55,16,1,585553,1,8,17,3,5,2,3,88
6265,win,3/15/21,13:24:17,54,1,490800,1,20,33,7,3,2,1,93
6265,win,3/15/21,16:25:15,22,1,702130,1,32,39,10,5,0,5,88
6265,win,3/15/21,15:15:05,15,1,1314252,1,15,28,6,3,2,1,93
6265,win,3/15/21,14:40:42,39,1,476883,1,32,39,10,0,0,0,100
6265,win,3/23/21,19:17:37,28,1,501807,1,14,24,5,2,0,2,95
6265,win,3/23/21,20:30:45,13,1,457771,1,29,37,9,1,0,1,98
6265,win,3/23/21,20:58:46,35,1,449631,1,42,42,12,2,1,1,95
6265,win,3/23/21,17:52:58,60,1,598952,1,2,10,1,20,0,20,52
6265,win,3/23/21,17:59:26,23,1,670458,1,23,25,8,7,1,6,83
6265,mac,3/23/21,18:09:25,31,1,443103,1,13,23,5,2,0,2,95
6265,win,3/23/21,21:24:03,12,1,902722,1,32,35,10,42,42,0,0
6265,win,3/23/21,21:49:34,29,1,402035,1,6,13,3,4,1,3,90
6265,win,3/23/21,18:41:34,56,1,719186,1,17,28,6,1,1,0,98
6265,win,3/23/21,20:42:32,19,1,644593,1,22,35,7,3,0,3,93
6265,win,3/23/21,20:50:15,58,1,505250,1,37,41,11,1,0,1,98
6265,and,3/23/21,20:43:13,18,1,735571,1,10,27,4,2,0,2,95
6265,mac,3/23/21,21:44:47,62,1,452446,1,7,18,3,2,0,2,95
6265,win,3/23/21,20:51:58,41,1,730554,1,32,38,10,6,3,3,86
6265,mac,3/23/21,18:55:48,45,1,833339,1,17,27,5,9,3,6,79
6265,mac,3/23/21,21:57:18,11,1,707401,1,23,32,8,1,1,0,98
6265,win,3/23/21,21:08:20,10,1,880887,1,15,30,5,1,1,0,98
6265,mac,3/23/21,22:34:03,21,1,685124,1,26,32,7,4,1,3,90
6265,win,3/23/21,23:12:12,4,1,638634,1,20,30,7,0,0,0,100
6265,win,4/5/21,08:20:54,43,1,605778,1,10,17,4,4,2,2,90
6265,win,4/5/21,10:25:45,7,1,496649,1,18,34,6,4,1,3,90
6265,win,4/5/21,11:06:08,3,1,484414,1,17,27,6,1,0,1,98
6265,win,4/5/21,11:06:03,33,1,441530,1,31,35,9,4,0,4,90
6265,win,4/5/21,11:16:04,40,1,433359,1,32,38,10,4,1,3,90
6265,win,4/5/21,12:21:25,61,1,397355,1,13,20,5,1,0,1,98
6265,mac,4/5/21,09:20:57,20,1,613157,1,15,21,6,3,3,0,93
6265,win,4/5/21,11:19:48,6,1,520149,1,5,12,2,9,1,8,79
6265,win,4/5/21,12:28:01,47,1,468378,1,22,35,7,2,1,1,95
6265,win,4/5/21,10:39:00,24,1,415282,1,28,36,9,1,0,1,98
6265,mac,4/5/21,12:40:15,50,1,563887,1,4,19,2,0,0,0,100
6265,win,4/5/21,11:37:38,26,1,592442,1,17,27,6,1,0,1,98
6265,mac,4/5/21,12:46:53,64,1,592137,1,30,38,9,3,0,3,93
