subID,amount,task,indPt,SV
101,4,1,3.9375,0.984375
101,2,2,0.96875,0.484375
101,4,2,2.9375,0.734375
101,2,3,1.21875,0.609375
101,3,3,2.203125,0.734375
101,3,1,2.953125,0.984375
101,2,1,1.90625,0.953125
101,4,3,2.8125,0.703125
101,3,2,2.953125,0.984375
102,4,1,3.9375,0.984375
102,2,1,1.96875,0.984375
102,3,1,2.953125,0.984375
102,2,2,1.78125,0.890625
102,4,2,3.4375,0.859375
102,2,3,0.78125,0.390625
102,4,3,3.0625,0.765625
102,3,2,2.578125,0.859375
102,3,3,1.453125,0.484375
103,3,3,2.015625,0.671875
103,2,1,1.96875,0.984375
103,4,1,3.9375,0.984375
103,2,2,1.96875,0.984375
103,3,2,2.953125,0.984375
103,2,3,0.96875,0.484375
103,4,2,3.9375,0.984375
103,3,1,2.953125,0.984375
103,4,3,1.9375,0.484375
104,4,1,3.9375,0.984375
104,2,1,1.96875,0.984375
104,3,1,2.953125,0.984375
104,2,2,0.78125,0.390625
104,4,2,2.9375,0.734375
104,2,3,0.53125,0.265625
104,4,3,2.0625,0.515625
104,3,2,1.921875,0.640625
104,3,3,1.171875,0.390625
105,4,1,3.9375,0.984375
105,2,2,0.53125,0.265625
105,4,2,2.6875,0.671875
105,2,3,0.09375,0.046875
105,3,3,0.140625,0.046875
105,3,1,2.953125,0.984375
105,2,1,1.90625,0.953125
105,4,3,0.9375,0.234375
105,3,2,2.296875,0.765625
106,4,1,3.6875,0.921875
106,2,1,1.90625,0.953125
106,3,1,2.859375,0.953125
106,2,2,1.03125,0.515625
106,4,2,2.0625,0.515625
106,2,3,0.53125,0.265625
106,4,3,0.5625,0.140625
106,3,2,0.796875,0.265625
106,3,3,0.140625,0.046875
107,4,1,3.4375,0.859375
107,2,2,0.09375,0.046875
107,4,2,0.1875,0.046875
107,2,3,0.03125,0.015625
107,3,3,0.046875,0.015625
107,3,1,2.859375,0.953125
107,2,1,1.53125,0.765625
107,4,3,0.0625,0.015625
107,3,2,0.046875,0.015625
109,4,1,2.9375,0.734375
109,2,2,0.03125,0.015625
109,4,2,1.4375,0.359375
